trinID,neglogpval
TRINITY_DN10453_c0_g1_TRINITY_DN10453_c0_g1_i1_g.924_m.924,0.285319797
TRINITY_DN10468_c0_g1_TRINITY_DN10468_c0_g1_i1_g.926_m.926,2.254551518
TRINITY_DN10473_c0_g1_TRINITY_DN10473_c0_g1_i1_g.928_m.928,0.171914564
TRINITY_DN10496_c0_g1_TRINITY_DN10496_c0_g1_i1_g.929_m.929,0.504229386
TRINITY_DN10529_c0_g1_TRINITY_DN10529_c0_g1_i1_g.930_m.930,0.01950205
TRINITY_DN10539_c0_g1_TRINITY_DN10539_c0_g1_i1_g.931_m.931,0.321389127
TRINITY_DN10542_c0_g1_TRINITY_DN10542_c0_g1_i1_g.932_m.932,0.432133736
TRINITY_DN10551_c0_g1_TRINITY_DN10551_c0_g1_i1_g.933_m.933,0.834667077
TRINITY_DN10598_c0_g1_TRINITY_DN10598_c0_g1_i1_g.935_m.935,0.309915614
TRINITY_DN10617_c0_g1_TRINITY_DN10617_c0_g1_i1_g.936_m.936,0.051230535
TRINITY_DN10622_c0_g1_TRINITY_DN10622_c0_g1_i1_g.938_m.938,0.405619739
TRINITY_DN10643_c0_g1_TRINITY_DN10643_c0_g1_i1_g.942_m.942,0.073804708
TRINITY_DN10649_c0_g1_TRINITY_DN10649_c0_g1_i1_g.943_m.943,0.583228871
TRINITY_DN10651_c0_g1_TRINITY_DN10651_c0_g1_i1_g.945_m.945,0.116346489
TRINITY_DN10652_c0_g1_TRINITY_DN10652_c0_g1_i1_g.944_m.944,0.141123276
TRINITY_DN10660_c0_g1_TRINITY_DN10660_c0_g1_i1_g.946_m.946,1.188173348
TRINITY_DN10661_c0_g1_TRINITY_DN10661_c0_g1_i1_g.947_m.947,0.593524619
TRINITY_DN1067_c0_g1_TRINITY_DN1067_c0_g1_i1_g.107_m.107,0.156180232
TRINITY_DN10672_c0_g1_TRINITY_DN10672_c0_g1_i1_g.948_m.948,0.238037035
TRINITY_DN10713_c0_g1_TRINITY_DN10713_c0_g1_i1_g.949_m.949,1.172732196
TRINITY_DN10716_c0_g1_TRINITY_DN10716_c0_g1_i1_g.951_m.951,1.219028649
TRINITY_DN10791_c0_g1_TRINITY_DN10791_c0_g1_i1_g.953_m.953,0.598267745
TRINITY_DN10794_c0_g1_TRINITY_DN10794_c0_g1_i1_g.954_m.954,0.109514403
TRINITY_DN10796_c0_g2_TRINITY_DN10796_c0_g2_i1_g.955_m.955,0.419478827
TRINITY_DN10823_c0_g1_TRINITY_DN10823_c0_g1_i1_g.957_m.957,0.123884012
TRINITY_DN10832_c0_g1_TRINITY_DN10832_c0_g1_i1_g.958_m.958,0.049880766
TRINITY_DN10836_c0_g1_TRINITY_DN10836_c0_g1_i1_g.959_m.959,0.106747838
TRINITY_DN10864_c0_g1_TRINITY_DN10864_c0_g1_i1_g.961_m.961,0.573162978
TRINITY_DN10872_c0_g1_TRINITY_DN10872_c0_g1_i1_g.962_m.962,1.384303543
TRINITY_DN10918_c0_g1_TRINITY_DN10918_c0_g1_i1_g.964_m.964,1.102192903
TRINITY_DN1092_c0_g1_TRINITY_DN1092_c0_g1_i1_g.108_m.108,0.078974948
TRINITY_DN10925_c0_g1_TRINITY_DN10925_c0_g1_i1_g.965_m.965,0.487236659
TRINITY_DN10928_c0_g1_TRINITY_DN10928_c0_g1_i1_g.966_m.966,0.077982955
TRINITY_DN10936_c0_g1_TRINITY_DN10936_c0_g1_i1_g.967_m.967,0.940864626
TRINITY_DN10948_c0_g1_TRINITY_DN10948_c0_g1_i1_g.968_m.968,0.057342673
TRINITY_DN10949_c0_g1_TRINITY_DN10949_c0_g1_i1_g.969_m.969,0.091262651
TRINITY_DN10975_c0_g1_TRINITY_DN10975_c0_g1_i1_g.971_m.971,0.44742714
TRINITY_DN11074_c0_g1_TRINITY_DN11074_c0_g1_i1_g.972_m.972,0.057234331
TRINITY_DN11078_c0_g1_TRINITY_DN11078_c0_g1_i1_g.973_m.973,2.469826918
TRINITY_DN11106_c0_g1_TRINITY_DN11106_c0_g1_i1_g.974_m.974,1.06432803
TRINITY_DN1112_c0_g1_TRINITY_DN1112_c0_g1_i1_g.109_m.109,0.048800461
TRINITY_DN11144_c0_g1_TRINITY_DN11144_c0_g1_i1_g.976_m.976,0.072844847
TRINITY_DN11154_c0_g1_TRINITY_DN11154_c0_g1_i1_g.979_m.979,0.41646494
TRINITY_DN11155_c0_g1_TRINITY_DN11155_c0_g1_i1_g.980_m.980,0.614396468
TRINITY_DN11159_c0_g1_TRINITY_DN11159_c0_g1_i1_g.981_m.981,0.170243347
TRINITY_DN11163_c0_g1_TRINITY_DN11163_c0_g1_i1_g.982_m.982,0.530001475
TRINITY_DN11165_c0_g1_TRINITY_DN11165_c0_g1_i1_g.983_m.983,1.019792859
TRINITY_DN11210_c0_g1_TRINITY_DN11210_c0_g1_i1_g.986_m.986,2.054647258
TRINITY_DN11240_c0_g2_TRINITY_DN11240_c0_g2_i1_g.988_m.988,0.146820774
TRINITY_DN11257_c0_g1_TRINITY_DN11257_c0_g1_i1_g.989_m.989,0.099553466
TRINITY_DN11264_c0_g2_TRINITY_DN11264_c0_g2_i1_g.990_m.990,0.524579962
TRINITY_DN11267_c0_g1_TRINITY_DN11267_c0_g1_i1_g.992_m.992,1.901242313
TRINITY_DN1127_c0_g1_TRINITY_DN1127_c0_g1_i1_g.110_m.110,0.046478813
TRINITY_DN11338_c0_g1_TRINITY_DN11338_c0_g1_i1_g.993_m.993,0.273123595
TRINITY_DN11347_c0_g1_TRINITY_DN11347_c0_g1_i1_g.994_m.994,0.100675728
